# Source: US Census Bureau, Vintage 2023 population estimates for cities and towns (public domain).
# https://www2.census.gov/programs-surveys/popest/datasets/2020-2023/cities/totals/
# The 1,500 largest places, plus a hand-set international list weighted to about 3% of draws.
# Written by tools/fetch-data.mjs. Do not edit by hand.
city,region,country,weight
Rocky Mount,NC,USA,54245
Arcadia,CA,USA,54157
Peabody,MA,USA,54056
Kentwood,MI,USA,53987
Yucaipa,CA,USA,53947
Tinley Park,IL,USA,53886
Pensacola,FL,USA,53724
Mooresville,NC,USA,53721
Manhattan,KS,USA,53682
Elkhart,IN,USA,53484
Pinellas Park,FL,USA,53456
Methuen Town,MA,USA,53455
Colton,CA,USA,53357
Edina,MN,USA,53348
Galveston,TX,USA,53237
Elyria,OH,USA,53117
Joplin,MO,USA,53095
Wheaton,IL,USA,52938
Rockwall,TX,USA,52918
Grand Island,NE,USA,52622
Normal,IL,USA,52618
Saratoga Springs,UT,USA,52532
Minnetonka,MN,USA,52463
Cathedral City,CA,USA,52356
Placentia,CA,USA,52192
Battle Creek,MI,USA,52175
Oak Park,IL,USA,52055
Diamond Bar,CA,USA,52041
Palm Desert,CA,USA,51951
Huntington Park,CA,USA,51942
Summerville,SC,USA,51884
Novato,CA,USA,51722
Dunwoody,GA,USA,51713
Columbus,IN,USA,51522
Delano,CA,USA,51500
Middletown,OH,USA,51478
La Crosse,WI,USA,51327
Collierville,TN,USA,51317
Jeffersonville,IN,USA,51235
Florissant,MO,USA,51128
Harrisonburg,VA,USA,51082
Paramount,CA,USA,51072
Newark,OH,USA,51046
Grapevine,TX,USA,50928
Watsonville,CA,USA,50867
Mishawaka,IN,USA,50842
West New York,NJ,USA,50754
Cuyahoga Falls,OH,USA,50742
Burien,WA,USA,50730
Troy,NY,USA,50607
Enid,OK,USA,50577
Milford,CT,USA,50421
Gallatin,TN,USA,50355
Everett,MA,USA,50318
Aliso Viejo,CA,USA,50263
Bothell,WA,USA,50213
Hoffman Estates,IL,USA,50179
Prescott Valley,AZ,USA,50045
Harrisburg,PA,USA,50012
Glendora,CA,USA,49934
Barnstable Town,MA,USA,49709
Downers Grove,IL,USA,49706
St. Louis Park,MN,USA,49697
Sheboygan,WI,USA,49686
Titusville,FL,USA,49680
Draper,UT,USA,49602
Murray,UT,USA,49553
Stillwater,OK,USA,49525
Fort Pierce,FL,USA,49374
Lakewood,OH,USA,49337
Leesburg,VA,USA,49312
Rosemead,CA,USA,49305
Portage,MI,USA,49302
Ocoee,FL,USA,49261
Goose Creek,SC,USA,49249
San Luis Obispo,CA,USA,49244
Lawrence,IN,USA,49235
Chesterfield,MO,USA,49166
Cleveland,TN,USA,49086
Dublin,OH,USA,48923
Cypress,CA,USA,48782
Covina,CA,USA,48728
Clermont,FL,USA,48621
Los Banos,CA,USA,48553
Huntsville,TX,USA,48552
East Lansing,MI,USA,48528
Brea,CA,USA,48479
Hattiesburg,MS,USA,48414
Cedar Hill,TX,USA,48411
Ceres,CA,USA,48397
Bedford,TX,USA,48370
Coral Gables,FL,USA,48353
Oro Valley,AZ,USA,48311
Azusa,CA,USA,48272
Biloxi,MS,USA,48235
Euclid,OH,USA,48212
Lebanon,TN,USA,48112
Poway,CA,USA,48051
Middletown,CT,USA,47984
Wilson,NC,USA,47833
Prescott,AZ,USA,47757
Mansfield,OH,USA,47711
Niagara Falls,NY,USA,47599
Wentzville,MO,USA,47497
Sherman,TX,USA,47473
Plainfield,IL,USA,47448
Columbia,TN,USA,47445
Minot,ND,USA,47373
Winter Garden,FL,USA,47294
Gainesville,GA,USA,47265
Waxahachie,TX,USA,47201
Beavercreek,OH,USA,47193
